metric,mode,avg_wait_mean,avg_wait_std,avg_wait_spread,avg_wait_cv,performance_rank,reliability_rank,p95_wait_mean,p95_wait_std,p95_wait_spread,p95_wait_cv,throughput_mean,throughput_std,throughput_spread,throughput_cv,avg_queue_mean,avg_queue_std,avg_queue_spread,avg_queue_cv,fairness_mean,fairness_std,fairness_spread,fairness_cv
avg_wait,fixed,25.920530514834915,1.5690998717216786,3.409060031424392,0.06053502148899486,1,2,,,,,,,,,,,,,,,,
avg_wait,greedy,26.252527844392876,1.934305981322341,4.68865411526836,0.07368075153705544,2,3,,,,,,,,,,,,,,,,
avg_wait,neural,28.643037907698584,0.5625541544850364,1.266977483886624,0.0196401707213408,3,1,,,,,,,,,,,,,,,,
avg_wait,adaptive,30.91412438276917,3.056340752261644,6.820704244068473,0.09886551255403433,4,5,,,,,,,,,,,,,,,,
avg_wait,rl,31.391591050885303,2.5901366170347035,6.009722634237487,0.08251052368884809,5,4,,,,,,,,,,,,,,,,
avg_wait,random,44.60255950883132,3.8150032859366165,9.361137150663296,0.08553328167593711,6,6,,,,,,,,,,,,,,,,
p95_wait,fixed,,,,,1,3,65.98179863000632,6.315095022739254,15.779198225001714,0.09570965256875189,,,,,,,,,,,,
p95_wait,greedy,,,,,2,2,79.32265864500783,6.301918317562813,15.945865225002265,0.07944663511299774,,,,,,,,,,,,
p95_wait,neural,,,,,3,1,79.86015972000868,2.0967021595112327,4.875009750000515,0.026254670249374813,,,,,,,,,,,,
p95_wait,adaptive,,,,,4,4,81.50932968500862,6.985490844638604,17.92920252500194,0.08570173342896956,,,,,,,,,,,,
p95_wait,rl,,,,,5,5,92.94685256001007,8.085634082929602,22.387544775002425,0.08699201597718659,,,,,,,,,,,,
p95_wait,random,,,,,6,6,130.3052606100133,8.573576205675094,21.375042750000574,0.06579608655505238,,,,,,,,,,,,
throughput,fixed,,,,,1,2,,,,,98.93313546705446,3.0858036446679504,6.99998600002742,0.031190800029738754,,,,,,,,
throughput,greedy,,,,,2,4,,,,,96.19980760037708,3.8049599034468247,10.666645333375143,0.03955267685412616,,,,,,,,
throughput,neural,,,,,3,1,,,,,92.13314906702782,0.960322098748254,1.9999960000078403,0.010423198473869702,,,,,,,,
throughput,rl,,,,,4,3,,,,,89.39982120035043,3.5777016085961644,7.999984000031375,0.04001911369127146,,,,,,,,
throughput,adaptive,,,,,5,5,,,,,88.66648933368089,5.562761963901839,14.666637333390824,0.06273804236194977,,,,,,,,
throughput,random,,,,,6,6,,,,,73.86651893362288,11.001493044193277,27.999944000109757,0.14893747807554483,,,,,,,,
avg_queue,greedy,,,,,1,2,,,,,,,,,12.933194444444444,0.4920778157717446,1.3493055555555546,0.03804766238422407,,,,
avg_queue,fixed,,,,,2,3,,,,,,,,,13.275972222222222,0.6857366555773934,1.5631944444444432,0.05165246236577393,,,,
avg_queue,neural,,,,,3,1,,,,,,,,,13.703333333333333,0.3372610751231302,0.8111111111111118,0.02461160849840405,,,,
avg_queue,rl,,,,,4,4,,,,,,,,,14.349305555555555,0.869043604352181,2.0749999999999975,0.0605634607882273,,,,
avg_queue,adaptive,,,,,5,6,,,,,,,,,14.9475,1.3389568368247085,2.834027777777777,0.08957730970561689,,,,
avg_queue,random,,,,,6,5,,,,,,,,,21.047777777777775,1.0668094567693278,2.8687499999999986,0.050685134935986656,,,,
fairness,adaptive,,,,,1,1,,,,,,,,,,,,,0.6640761765820282,0.03848077547446374,0.10806041923488274,0.05794632729112894
fairness,neural,,,,,2,5,,,,,,,,,,,,,0.6557985579021712,0.0871971816506578,0.2047847115162188,0.1329633629106965
fairness,rl,,,,,3,2,,,,,,,,,,,,,0.6552693144312066,0.04502265759095436,0.10179443474701888,0.06870863109168385
fairness,greedy,,,,,4,4,,,,,,,,,,,,,0.6549856544533341,0.07410997979346808,0.17821154189545574,0.11314748542900828
fairness,fixed,,,,,5,3,,,,,,,,,,,,,0.6412240340284714,0.06250774914624788,0.1678824344463934,0.09748191868845707
fairness,random,,,,,6,6,,,,,,,,,,,,,0.6097442019028916,0.11238099367713437,0.25767566936803654,0.18430842528131539
